4, 3, 6, 3, 53, 107, 109, 59, 96, 37, 10, 3, 0
4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 0
4, 1, 1, 2, 1, 2, 2, 1, 2, 1, 2, 3, 0
1, 2, 6, 3, 2, 3, 3, 2, 3, 2, 3, 1, 0
1, 2, 6, 0, 3, 4, 4, 3, 4, 3, 4, 3, 0
1, 2, 2, 0, 4, 5, 5, 4, 5, 4, 5, 3, 0
1, 2, 2, 4, 4, 6, 6, 5, 6, 5, 6, 3, 0
1, 2, 2, 4, 5, 7, 7, 6, 7, 6, 7, 3, 0
1, 2, 3, 1, 6, 8, 8, 7, 8, 7, 5, 3, 0
4, 3, 3, 2, 7, 9, 9, 8, 9, 8, 3, 3, 0
4, 3, 3, 2, 7, 9, 9, 8, 10, 37, 8, 3, 0
4, 3, 3, 2, 8, 10, 10, 9, 11, 9, 3, 3, 0
2, 3, 2, 3, 9, 11, 11, 10, 12, 10, 10, 3, 0
2, 3, 3, 4, 10, 12, 12, 7, 13, 11, 7, 3, 0
2, 3, 3, 5, 11, 13, 13, 11, 14, 12, 9, 3, 0
2, 3, 3, 3, 12, 14, 14, 12, 15, 13, 5, 3, 0
3, 3, 6, 2, 2, 15, 15, 13, 16, 5, 5, 3, 0
1, 3, 1, 4, 13, 16, 16, 14, 17, 14, 0, 3, 0
2, 1, 6, 5, 14, 17, 17, 15, 18, 15, 3, 3, 0
2, 1, 4, 2, 15, 18, 18, 59, 19, 13, 9, 3, 0
2, 1, 3, 1, 6, 8, 8, 7, 20, 8, 11, 3, 0
3, 1, 3, 4, 16, 19, 19, 11, 21, 9, 11, 3, 0
4, 1, 5, 0, 17, 20, 20, 16, 22, 13, 9, 3, 0
4, 1, 2, 2, 18, 21, 21, 17, 23, 16, 12, 3, 0
4, 1, 2, 2, 19, 22, 22, 18, 24, 17, 12, 3, 0
4, 1, 2, 0, 20, 23, 23, 19, 25, 18, 5, 3, 0
4, 1, 3, 3, 21, 24, 24, 20, 26, 19, 12, 3, 0
4, 1, 3, 4, 10, 12, 12, 7, 27, 20, 2, 3, 0
2, 0, 3, 2, 22, 7, 25, 21, 28, 21, 11, 3, 0
2, 0, 3, 0, 19, 25, 26, 21, 9, 22, 13, 3, 0
2, 0, 3, 3, 17, 26, 27, 22, 29, 21, 13, 3, 0
2, 0, 3, 4, 23, 27, 28, 8, 30, 23, 14, 3, 0
2, 0, 3, 3, 23, 28, 29, 23, 31, 24, 4, 3, 0
2, 0, 3, 0, 2, 29, 30, 13, 32, 22, 13, 3, 0
2, 0, 3, 4, 16, 19, 19, 11, 33, 17, 11, 3, 0
2, 0, 3, 1, 24, 30, 31, 15, 34, 25, 9, 3, 0
2, 0, 1, 1, 1, 1, 1, 1, 35, 21, 9, 3, 0
4, 1, 1, 3, 25, 31, 32, 24, 36, 18, 5, 3, 0
4, 0, 1, 2, 1, 2, 2, 1, 10, 5, 3, 3, 0
0, 1, 6, 1, 26, 32, 33, 25, 37, 16, 11, 3, 0
0, 1, 0, 1, 27, 33, 34, 26, 38, 24, 6, 3, 0
0, 1, 2, 2, 18, 34, 35, 27, 39, 11, 10, 3, 0
0, 1, 2, 1, 28, 35, 36, 28, 40, 26, 5, 3, 0
0, 1, 3, 2, 7, 9, 9, 8, 41, 20, 11, 3, 0
0, 1, 3, 5, 29, 36, 37, 17, 42, 27, 0, 3, 0
3, 2, 3, 5, 17, 26, 27, 22, 43, 21, 3, 3, 0
3, 2, 3, 4, 10, 12, 12, 7, 44, 28, 13, 3, 0
2, 2, 0, 4, 30, 37, 38, 29, 45, 29, 6, 3, 0
0, 1, 6, 4, 31, 38, 39, 30, 46, 15, 4, 3, 0
