63, 66, 39, 31, 26, 48, 66, 19, 50, 66, 39, 61, 60, 1
1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
2, 2, 2, 2, 2, 48, 2, 2, 2, 2, 2, 2, 2, 1
3, 3, 3, 3, 3, 2, 3, 3, 3, 3, 3, 3, 3, 1
4, 4, 4, 4, 4, 48, 4, 4, 4, 4, 39, 4, 4, 1
5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 1, 5, 5, 1
6, 6, 5, 6, 6, 4, 6, 2, 6, 6, 4, 6, 6, 1
7, 7, 6, 7, 7, 5, 7, 6, 7, 7, 5, 6, 7, 1
8, 8, 7, 8, 8, 48, 8, 7, 6, 8, 6, 5, 8, 1
9, 9, 8, 9, 9, 6, 9, 8, 8, 9, 7, 7, 8, 1
10, 10, 9, 10, 10, 7, 10, 8, 9, 10, 8, 2, 9, 1
11, 11, 10, 3, 11, 8, 11, 1, 10, 11, 9, 8, 10, 1
12, 12, 11, 9, 12, 5, 1, 7, 11, 12, 10, 9, 11, 1
13, 12, 12, 11, 13, 9, 12, 9, 2, 13, 8, 10, 12, 1
14, 6, 13, 12, 14, 10, 13, 7, 12, 14, 11, 11, 13, 1
15, 13, 14, 13, 5, 11, 14, 2, 13, 15, 12, 12, 14, 1
16, 14, 15, 14, 15, 48, 15, 10, 5, 16, 13, 13, 10, 1
17, 15, 16, 14, 16, 7, 16, 11, 14, 17, 14, 14, 15, 1
18, 16, 17, 15, 17, 10, 17, 12, 15, 18, 15, 8, 16, 1
19, 17, 18, 5, 18, 12, 18, 13, 16, 19, 16, 15, 17, 1
7, 18, 19, 9, 19, 13, 19, 3, 17, 20, 17, 16, 18, 1
20, 19, 20, 2, 14, 14, 20, 14, 6, 21, 2, 17, 19, 1
21, 20, 21, 16, 2, 15, 21, 15, 18, 22, 18, 18, 20, 1
22, 21, 22, 17, 11, 16, 22, 1, 13, 23, 17, 19, 21, 1
23, 13, 6, 14, 6, 17, 23, 19, 16, 24, 19, 20, 17, 1
24, 22, 23, 18, 20, 18, 24, 16, 19, 25, 14, 21, 22, 1
25, 23, 16, 19, 21, 11, 25, 5, 20, 26, 20, 22, 23, 1
26, 24, 1, 20, 22, 19, 26, 15, 21, 27, 4, 23, 24, 1
27, 25, 24, 21, 23, 7, 27, 17, 22, 21, 8, 1, 25, 1
28, 26, 25, 9, 6, 1, 28, 1, 6, 28, 39, 24, 20, 1
29, 27, 14, 22, 2, 13, 29, 7, 9, 29, 21, 25, 24, 1
30, 28, 21, 23, 24, 20, 30, 8, 23, 30, 17, 12, 26, 1
31, 29, 21, 13, 25, 21, 4, 18, 5, 31, 15, 26, 27, 1
32, 30, 14, 24, 0, 7, 31, 0, 21, 13, 8, 11, 28, 1
33, 31, 20, 25, 27, 22, 32, 7, 24, 32, 22, 26, 29, 1
34, 13, 11, 26, 1, 12, 8, 1, 15, 19, 39, 27, 30, 1
35, 8, 26, 27, 27, 5, 24, 5, 25, 33, 17, 28, 31, 1
